Name,Rating,Review_Text,sentiment
Hotel The Pearl,9.0,"Hotel the pearl is perfect place to stay in Delhi Paharganj. whole staff are very helpful, informative. Rooms are clean and comfortable. The hotel's location was very convenient, and we had a truly wonderful stay.. Most recommended..",positif
Hotel The Pearl,9.0,Location of the hotel is perfect. The hotel is peaceful and nice. The staff is very kind and nice rooms. I recommend this hotel..,positif
Hotel The Pearl,9.0,"Location, Indian food.",netral
Hotel The Pearl,9.0,"The location and the hotel itself is great. Next time I will stay here. Nice rooms with comfortable beds. good attitude of staff, they are helpful and explain you everything you ask them.",positif
Hotel The Pearl,9.0,"Friendly and smiling staffs.. The reception staff are so excellent and ready to help me any time, location is fantastic near all the attractions, room was big and comfortable..",positif
Hotel The Pearl,9.0,"The location was really perfect.. we really enjoyed the hotel. Clean and comfortable rooms, awesome breakfast, great staff. Would totally recommend this hotel.. i really liked the place..",positif
Hotel The Pearl,9.0,"Nice cosy room. well maintained and clean room, bathroom was cleaned and bad was comfortable. staffs were very friendly and service were excellent. Definitely will come back to stay here..",positif
Hotel The Pearl,9.0,"We can say that we had an amazing experience. all the staff members are amazing, friendly, supportive. all good in this hotel. The room was actually awesome and wonderful service by the hotel management.. thanks for this best hospitality..",positif
Hotel The Pearl,9.0,"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great..",positif
Hotel The Pearl,8.0,Nice hotel with comfortable stay.. I would highly recommend it. the service from the staff was excellent and the facilities and breakfast were also great. i would stay here again!,positif
Hotel Grand Park Inn,10.0,"- I felt safe.
- Staff has been pleasantly and quickly responsive before we came at the hotel as much as during the stay. Great sense of service and you get what's shown/told  (which to be honest has been rarely the case in india from my own experience).
- Good location - near the metro and the karol bagh market without being completely in the congested streets (but the area still gets crowded during busy hours of the day making it difficult to even walk around the area which could be a bit overwhelming).
- Rooms : clean and spacious (we took a triple bed room), quiet. There is a lift for heavy luggage and/or staff is happy to help as well to bring your stuff to the room. - there is a separation between the ""showering space"" and the toilets (hallelujah! So you don't have to walk wet feet in the bathroom - this is a detail but luxury point which is pleasant) :) 
- wifi works well
- food facility is there - food is good",positif
Hotel Grand Park Inn,8.0,It's good stay. Staff are very cooperative.  Good cleaning. Required variety in breakfast.,positif
Hotel Grand Park Inn,8.0,"Breakfast was good, but we couldn't take it every day as we were out. Food other than bf was also excellent & tasty. The reception & staff are also very helpful and cooperative.",positif
Hotel Grand Park Inn,7.0,the staff was good and accommodating,positif
Hotel Grand Park Inn,8.0,It was very comfortable,positif
Hotel Grand Park Inn,6.0,staff service was good,positif
Hotel Grand Park Inn,7.0,The hotel staff is very good.,positif
Hotel Grand Park Inn,8.0,cleanliness,netral
Hotel Grand Park Inn,8.0,Good Experience,positif
Hotel Grand Park Inn,8.0,Overall good with good helping staff. Immediately response when need. Hospitality is good towards the visitors.,positif
FabHotel White Klove Paharganj,10.0,Zunaid was very helpful with service. He has been helpful on every trip and stay at White Klove. Front dest Azar is also very professional.,positif
FabHotel White Klove Paharganj,8.0,It's just need little more cleaning in room,positif
FabHotel White Klove Paharganj,7.0,Cleanliness and staff behaviour,netral
FabHotel White Klove Paharganj,8.0,"Large room, comfortable bed, great room service. Large washroom, great shower",positif
FabHotel White Klove Paharganj,7.0,No fuss property. Staff was cooperative and ready to help.,positif
FabHotel White Klove Paharganj,9.0,"Normal room, but sheets and pillows had marks from previous guests on them. Unexceptable, they need to make sure to put in new sheets rather than use old ones that are marked. Other than that the stay was good tho, the staff were great and the food was really good",positif
FabHotel White Klove Paharganj,8.0,Cleanliness and cordial relation maintained by staff,netral
FabHotel White Klove Paharganj,8.0,Very nice hotel and good service,positif
FabHotel White Klove Paharganj,7.0,really well located for sightseeing. Paharganj is also quite an experience in itself.,positif
Hotel Mannat international by Mannat,10.0,"Mr. Sanjay ad shibu and his staff will made you feel at home with all their hospitality, sympathy and always trying to help you for everything you need from the stay at the hotel until tours, trains, buses, money changer, everything!!!",netral
